year,Gender,count,total,share
1900.0,Male,999,1271,0.7859952793076318
1900.0,Unknown,99,1271,0.07789142407553108
1901.0,Female,36,437,0.08237986270022883
1901.0,Male,390,437,0.8924485125858124
1901.0,Unknown,11,437,0.02517162471395881
1902.0,Female,8,562,0.014234875444839857
1902.0,Male,550,562,0.9786476868327402
1902.0,Unknown,4,562,0.0071174377224199285
1903.0,Female,6,344,0.01744186046511628
1903.0,Male,308,344,0.8953488372093024
1903.0,Unknown,30,344,0.0872093023255814
1904.0,Female,3,240,0.0125
1904.0,Male,222,240,0.925
1904.0,Unknown,15,240,0.0625
1905.0,Female,11,485,0.02268041237113402
1905.0,Male,445,485,0.9175257731958762
1905.0,Unknown,29,485,0.05979381443298969
1906.0,Female,6,255,0.023529411764705882
1906.0,Male,244,255,0.9568627450980393
1906.0,Unknown,5,255,0.0196078431372549
1907.0,Female,8,396,0.020202020202020204
1907.0,Male,334,396,0.8434343434343434
1907.0,Unknown,54,396,0.13636363636363635
1908.0,Female,7,430,0.01627906976744186
1908.0,Male,392,430,0.9116279069767442
1908.0,Unknown,31,430,0.07209302325581396
1909.0,Female,1,329,0.00303951367781155
1909.0,Male,311,329,0.9452887537993921
1909.0,Unknown,17,329,0.05167173252279635
1910.0,Female,13,781,0.016645326504481434
1910.0,Male,683,781,0.8745198463508322
1910.0,Unknown,85,781,0.1088348271446863
1911.0,Female,3,526,0.005703422053231939
1911.0,Male,514,526,0.9771863117870723
1911.0,Unknown,9,526,0.017110266159695818
1912.0,Female,81,720,0.1125
1912.0,Male,616,720,0.8555555555555555
1912.0,Unknown,23,720,0.03194444444444444
1913.0,Female,67,759,0.08827404479578392
1913.0,Male,668,759,0.8801054018445322
1913.0,Unknown,24,759,0.03162055335968379
1914.0,Female,83,747,0.1111111111111111
1914.0,Male,620,747,0.8299866131191432
1914.0,Unknown,44,747,0.058902275769745646
1915.0,Female,21,689,0.030478955007256895
1915.0,Male,529,689,0.7677793904208998
1915.0,Unknown,139,689,0.20174165457184326
1916.0,Female,39,705,0.05531914893617021
1916.0,Male,486,705,0.6893617021276596
1916.0,Unknown,180,705,0.2553191489361702
1917.0,Female,12,473,0.02536997885835095
1917.0,Male,422,473,0.8921775898520085
1917.0,Unknown,39,473,0.0824524312896406
1918.0,Female,38,627,0.06060606060606061
1918.0,Male,500,627,0.7974481658692185
