year,Gender,count,total,share
1975.0,Unknown,4,213,0.018779342723004695
1976.0,Female,22,277,0.07942238267148015
1976.0,Male,244,277,0.8808664259927798
1976.0,Unknown,11,277,0.039711191335740074
1977.0,Female,60,383,0.1566579634464752
1977.0,Male,313,383,0.8172323759791122
1977.0,Unknown,10,383,0.02610966057441253
1978.0,Female,44,337,0.13056379821958458
1978.0,Male,286,337,0.8486646884272997
1978.0,Unknown,7,337,0.020771513353115726
1979.0,Female,48,350,0.13714285714285715
1979.0,Male,296,350,0.8457142857142858
1979.0,Unknown,6,350,0.017142857142857144
1980.0,Female,40,259,0.15444015444015444
1980.0,Male,208,259,0.803088803088803
1980.0,Unknown,11,259,0.04247104247104247
1981.0,Female,32,336,0.09523809523809523
1981.0,Male,287,336,0.8541666666666666
1981.0,Unknown,17,336,0.050595238095238096
1982.0,Female,28,290,0.09655172413793103
1982.0,Male,235,290,0.8103448275862069
1982.0,Unknown,27,290,0.09310344827586207
1983.0,Female,46,374,0.12299465240641712
1983.0,Male,313,374,0.8368983957219251
1983.0,Unknown,15,374,0.040106951871657755
1984.0,Female,52,314,0.16560509554140126
1984.0,Male,252,314,0.802547770700637
1984.0,Unknown,10,314,0.03184713375796178
1985.0,Female,53,412,0.12864077669902912
1985.0,Male,346,412,0.8398058252427184
1985.0,Unknown,13,412,0.03155339805825243
1986.0,Female,37,348,0.10632183908045977
1986.0,Male,298,348,0.8563218390804598
1986.0,Unknown,13,348,0.03735632183908046
1987.0,Female,70,440,0.1590909090909091
1987.0,Male,354,440,0.8045454545454546
1987.0,Unknown,16,440,0.03636363636363636
1988.0,Female,64,316,0.20253164556962025
1988.0,Male,236,316,0.7468354430379747
1988.0,Unknown,16,316,0.05063291139240506
1989.0,Female,34,259,0.13127413127413126
1989.0,Male,217,259,0.8378378378378378
1989.0,Unknown,8,259,0.03088803088803089
1990.0,Female,48,296,0.16216216216216217
1990.0,Male,228,296,0.7702702702702703
1990.0,Unknown,20,296,0.06756756756756757
1991.0,Female,52,269,0.19330855018587362
1991.0,Male,209,269,0.7769516728624535
1991.0,Unknown,8,269,0.02973977695167286
1992.0,Female,57,342,0.16666666666666666
1992.0,Male,274,342,0.8011695906432749
1992.0,Unknown,11,342,0.03216374269005848
1993.0,Female,48,271,0.17712177121771217
1993.0,Male,211,271,0.7785977859778598
1993.0,Unknown,12,271,0.04428044280442804
1994.0,Female,49,300,0.16333333333333333
1994.0,Male,240,300,0.8
1994.0,Unknown,11,300,0.03666666666666667
1995.0,Female,46,224,0.20535714285714285
1995.0,Male,161,224,0.71875
1995.0,Unknown,17,224,0.07589285714285714
1996.0,Female,45,257,0.17509727626459143
1996.0,Male,191,257,0.7431906614785992
1996.0,Unknown,21,257,0.08171206225680934
1997.0,Female,58,318,0.18238993710691823
1997.0,Male,233,318,0.7327044025157232
1997.0,Unknown,27,318,0.08490566037735849
1998.0,Female,81,366,0.22131147540983606
1998.0,Male,270,366,0.7377049180327869
1998.0,Unknown,15,366,0.040983606557377046
1999.0,Female,57,284,0.2007042253521127
1999.0,Male,215,284,0.7570422535211268
1999.0,Unknown,12,284,0.04225352112676056
2000.0,Female,60,304,0.19736842105263158
2000.0,Male,226,304,0.743421052631579
2000.0,Unknown,18,304,0.05921052631578947
2001.0,Female,122,898,0.1358574610244989
2001.0,Male,620,898,0.6904231625835189
2001.0,Unknown,156,898,0.17371937639198218
2002.0,Female,59,261,0.2260536398467433
2002.0,Male,192,261,0.735632183908046
2002.0,Unknown,10,261,0.038314176245210725
2003.0,Female,47,213,0.22065727699530516
2003.0,Male,152,213,0.7136150234741784
2003.0,Unknown,14,213,0.06572769953051644
2004.0,Female,69,255,0.27058823529411763
2004.0,Male,176,255,0.6901960784313725
2004.0,Unknown,10,255,0.0392156862745098
2005.0,Female,235,936,0.25106837606837606
2005.0,Male,672,936,0.717948717948718
2005.0,Unknown,29,936,0.030982905982905984
2006.0,Female,151,701,0.21540656205420827
2006.0,Male,458,701,0.6533523537803139
2006.0,Unknown,92,701,0.1312410841654779
2007.0,Female,82,411,0.19951338199513383
2007.0,Male,294,411,0.7153284671532847
2007.0,Unknown,35,411,0.0851581508515815
2008.0,Female,95,566,0.16784452296819788
2008.0,Male,412,566,0.7279151943462897
2008.0,Unknown,59,566,0.10424028268551237
2009.0,Female,78,325,0.24
2009.0,Male,236,325,0.7261538461538461
2009.0,Unknown,11,325,0.033846153846153845
2010.0,Female,83,354,0.2344632768361582
2010.0,Male,237,354,0.6694915254237288
2010.0,Unknown,34,354,0.096045197740113
2011.0,Female,110,394,0.27918781725888325
2011.0,Male,262,394,0.6649746192893401
2011.0,Unknown,22,394,0.05583756345177665
2012.0,Female,95,517,0.18375241779497098
2012.0,Male,405,517,0.7833655705996132
2012.0,Unknown,17,517,0.03288201160541586
2013.0,Female,125,680,0.18382352941176472
2013.0,Male,449,680,0.6602941176470588
2013.0,Unknown,106,680,0.15588235294117647
2014.0,Female,82,422,0.1943127962085308
2014.0,Male,289,422,0.6848341232227488
2014.0,Unknown,51,422,0.12085308056872038
2015.0,Female,116,671,0.17287630402384502
2015.0,Male,489,671,0.7287630402384501
2015.0,Unknown,66,671,0.09836065573770492
2016.0,Female,84,434,0.1935483870967742
2016.0,Male,259,434,0.5967741935483871
2016.0,Unknown,91,434,0.20967741935483872
