year,Gender,count,total,share
1900.0,Unknown,23,186,0.12365591397849462
1901.0,Female,5,54,0.09259259259259259
1901.0,Male,43,54,0.7962962962962963
1901.0,Unknown,6,54,0.1111111111111111
1902.0,Female,3,54,0.05555555555555555
1902.0,Male,48,54,0.8888888888888888
1902.0,Unknown,3,54,0.05555555555555555
1903.0,Female,1,43,0.023255813953488372
1903.0,Male,37,43,0.8604651162790697
1903.0,Unknown,5,43,0.11627906976744186
1904.0,Female,3,49,0.061224489795918366
1904.0,Male,43,49,0.8775510204081632
1904.0,Unknown,3,49,0.061224489795918366
1905.0,Female,2,51,0.0392156862745098
1905.0,Male,41,51,0.803921568627451
1905.0,Unknown,8,51,0.1568627450980392
1906.0,Female,4,62,0.06451612903225806
1906.0,Male,54,62,0.8709677419354839
1906.0,Unknown,4,62,0.06451612903225806
1907.0,Female,2,62,0.03225806451612903
1907.0,Male,56,62,0.9032258064516129
1907.0,Unknown,4,62,0.06451612903225806
1908.0,Female,4,75,0.05333333333333334
1908.0,Male,67,75,0.8933333333333333
1908.0,Unknown,4,75,0.05333333333333334
1909.0,Female,1,57,0.017543859649122806
1909.0,Male,55,57,0.9649122807017544
1909.0,Unknown,1,57,0.017543859649122806
1910.0,Female,8,125,0.064
1910.0,Male,104,125,0.832
1910.0,Unknown,13,125,0.104
1911.0,Female,3,77,0.03896103896103896
1911.0,Male,71,77,0.922077922077922
1911.0,Unknown,3,77,0.03896103896103896
1912.0,Female,8,118,0.06779661016949153
1912.0,Male,103,118,0.8728813559322034
1912.0,Unknown,7,118,0.059322033898305086
1913.0,Female,5,123,0.04065040650406504
1913.0,Male,111,123,0.9024390243902439
1913.0,Unknown,7,123,0.056910569105691054
1914.0,Female,11,146,0.07534246575342465
1914.0,Male,120,146,0.821917808219178
1914.0,Unknown,15,146,0.10273972602739725
1915.0,Female,11,123,0.08943089430894309
1915.0,Male,103,123,0.8373983739837398
1915.0,Unknown,9,123,0.07317073170731707
1916.0,Female,11,153,0.0718954248366013
1916.0,Male,130,153,0.8496732026143791
1916.0,Unknown,12,153,0.0784313725490196
1917.0,Female,8,164,0.04878048780487805
1917.0,Male,132,164,0.8048780487804879
1917.0,Unknown,24,164,0.14634146341463414
1918.0,Female,18,245,0.07346938775510205
1918.0,Male,184,245,0.7510204081632653
1918.0,Unknown,43,245,0.17551020408163265
1919.0,Female,10,171,0.05847953216374269
1919.0,Male,138,171,0.8070175438596491
1919.0,Unknown,23,171,0.13450292397660818
1920.0,Female,19,276,0.06884057971014493
1920.0,Male,230,276,0.8333333333333334
1920.0,Unknown,27,276,0.09782608695652174
1921.0,Female,12,179,0.0670391061452514
1921.0,Male,151,179,0.8435754189944135
1921.0,Unknown,16,179,0.0893854748603352
1922.0,Female,18,204,0.08823529411764706
1922.0,Male,163,204,0.7990196078431373
1922.0,Unknown,23,204,0.11274509803921569
1923.0,Female,16,190,0.08421052631578947
1923.0,Male,164,190,0.8631578947368421
1923.0,Unknown,10,190,0.05263157894736842
1924.0,Female,15,197,0.07614213197969544
1924.0,Male,162,197,0.8223350253807107
1924.0,Unknown,20,197,0.10152284263959391
