birth_year,Gender,count,total,share
1878.0,Male,25,28,0.8928571428571429
1879.0,Female,4,33,0.12121212121212122
1879.0,Male,27,33,0.8181818181818182
1879.0,Unknown,2,33,0.06060606060606061
1880.0,Female,1,38,0.02631578947368421
1880.0,Male,34,38,0.8947368421052632
1880.0,Unknown,3,38,0.07894736842105263
1881.0,Female,5,47,0.10638297872340426
1881.0,Male,40,47,0.851063829787234
1881.0,Unknown,2,47,0.0425531914893617
1882.0,Female,2,43,0.046511627906976744
1882.0,Male,40,43,0.9302325581395349
1882.0,Unknown,1,43,0.023255813953488372
1883.0,Female,4,58,0.06896551724137931
1883.0,Male,54,58,0.9310344827586207
1884.0,Female,3,42,0.07142857142857142
1884.0,Male,36,42,0.8571428571428571
1884.0,Unknown,3,42,0.07142857142857142
1885.0,Female,6,54,0.1111111111111111
1885.0,Male,45,54,0.8333333333333334
1885.0,Unknown,3,54,0.05555555555555555
1886.0,Female,5,58,0.08620689655172414
1886.0,Male,52,58,0.896551724137931
1886.0,Unknown,1,58,0.017241379310344827
1887.0,Female,4,58,0.06896551724137931
1887.0,Male,53,58,0.9137931034482759
1887.0,Unknown,1,58,0.017241379310344827
1888.0,Female,1,48,0.020833333333333332
1888.0,Male,44,48,0.9166666666666666
1888.0,Unknown,3,48,0.0625
1889.0,Female,9,72,0.125
1889.0,Male,60,72,0.8333333333333334
1889.0,Unknown,3,72,0.041666666666666664
1890.0,Female,7,57,0.12280701754385964
1890.0,Male,50,57,0.8771929824561403
1891.0,Female,5,53,0.09433962264150944
1891.0,Male,43,53,0.8113207547169812
1891.0,Unknown,5,53,0.09433962264150944
1892.0,Female,9,66,0.13636363636363635
1892.0,Male,54,66,0.8181818181818182
1892.0,Unknown,3,66,0.045454545454545456
1893.0,Female,8,61,0.13114754098360656
1893.0,Male,48,61,0.7868852459016393
1893.0,Unknown,5,61,0.08196721311475409
1894.0,Female,11,65,0.16923076923076924
1894.0,Male,52,65,0.8
1894.0,Unknown,2,65,0.03076923076923077
1895.0,Female,10,62,0.16129032258064516
1895.0,Male,50,62,0.8064516129032258
1895.0,Unknown,2,62,0.03225806451612903
1896.0,Female,11,78,0.14102564102564102
1896.0,Male,64,78,0.8205128205128205
1896.0,Unknown,3,78,0.038461538461538464
1897.0,Female,6,62,0.0967741935483871
1897.0,Male,55,62,0.8870967741935484
1897.0,Unknown,1,62,0.016129032258064516
1898.0,Female,11,73,0.1506849315068493
1898.0,Male,58,73,0.7945205479452054
1898.0,Unknown,4,73,0.0547945205479452
1899.0,Female,12,71,0.16901408450704225
1899.0,Male,57,71,0.8028169014084507
1899.0,Unknown,2,71,0.028169014084507043
1900.0,Female,11,87,0.12643678160919541
1900.0,Male,76,87,0.8735632183908046
1901.0,Female,7,66,0.10606060606060606
1901.0,Male,55,66,0.8333333333333334
1901.0,Unknown,4,66,0.06060606060606061
1902.0,Female,9,89,0.10112359550561797
1902.0,Male,78,89,0.8764044943820225
1902.0,Unknown,2,89,0.02247191011235955
1903.0,Female,15,80,0.1875
1903.0,Male,63,80,0.7875
1903.0,Unknown,2,80,0.025
1904.0,Female,13,83,0.1566265060240964
1904.0,Male,70,83,0.8433734939759037
1905.0,Female,7,74,0.0945945945945946
1905.0,Male,66,74,0.8918918918918919
1905.0,Unknown,1,74,0.013513513513513514
1906.0,Female,11,84,0.13095238095238096
1906.0,Male,66,84,0.7857142857142857
1906.0,Unknown,7,84,0.08333333333333333
1907.0,Female,12,81,0.14814814814814814
1907.0,Male,68,81,0.8395061728395061
1907.0,Unknown,1,81,0.012345679012345678
1908.0,Female,10,74,0.13513513513513514
1908.0,Male,62,74,0.8378378378378378
1908.0,Unknown,2,74,0.02702702702702703
1909.0,Female,11,85,0.12941176470588237
1909.0,Male,72,85,0.8470588235294118
1909.0,Unknown,2,85,0.023529411764705882
1910.0,Female,11,77,0.14285714285714285
1910.0,Male,63,77,0.8181818181818182
1910.0,Unknown,3,77,0.03896103896103896
1911.0,Female,13,75,0.17333333333333334
1911.0,Male,57,75,0.76
