year,Department,Gender,count,total,share
2012.0,Painting & Sculpture,Male,20,31,0.6451612903225806
2012.0,Photography,Female,18,48,0.375
2012.0,Photography,Male,30,48,0.625
2012.0,Prints & Illustrated Books,Female,26,91,0.2857142857142857
2012.0,Prints & Illustrated Books,Male,62,91,0.6813186813186813
2012.0,Prints & Illustrated Books,Unknown,3,91,0.03296703296703297
2013.0,Architecture & Design,Female,3,54,0.05555555555555555
2013.0,Architecture & Design,Male,47,54,0.8703703703703703
2013.0,Architecture & Design,Unknown,4,54,0.07407407407407407
2013.0,Drawings,Female,7,30,0.23333333333333334
2013.0,Drawings,Male,23,30,0.7666666666666667
2013.0,Film,Female,26,169,0.15384615384615385
2013.0,Film,Male,141,169,0.834319526627219
2013.0,Film,Unknown,2,169,0.011834319526627219
2013.0,Media and Performance Art,Female,5,23,0.21739130434782608
2013.0,Media and Performance Art,Male,12,23,0.5217391304347826
2013.0,Media and Performance Art,Unknown,6,23,0.2608695652173913
2013.0,Painting & Sculpture,Female,12,43,0.27906976744186046
2013.0,Painting & Sculpture,Male,31,43,0.7209302325581395
2013.0,Photography,Female,30,94,0.3191489361702128
2013.0,Photography,Male,60,94,0.6382978723404256
2013.0,Photography,Unknown,4,94,0.0425531914893617
2013.0,Prints & Illustrated Books,Female,42,267,0.15730337078651685
2013.0,Prints & Illustrated Books,Male,135,267,0.5056179775280899
2013.0,Prints & Illustrated Books,Unknown,90,267,0.33707865168539325
2014.0,Architecture & Design,Female,12,123,0.0975609756097561
2014.0,Architecture & Design,Male,96,123,0.7804878048780488
2014.0,Architecture & Design,Unknown,15,123,0.12195121951219512
2014.0,Drawings,Female,11,36,0.3055555555555556
2014.0,Drawings,Male,25,36,0.6944444444444444
2014.0,Film,Female,9,51,0.17647058823529413
2014.0,Film,Male,42,51,0.8235294117647058
2014.0,Media and Performance Art,Female,11,33,0.3333333333333333
2014.0,Media and Performance Art,Male,15,33,0.45454545454545453
2014.0,Media and Performance Art,Unknown,7,33,0.21212121212121213
2014.0,Painting & Sculpture,Female,8,27,0.2962962962962963
2014.0,Painting & Sculpture,Male,19,27,0.7037037037037037
2014.0,Photography,Female,15,57,0.2631578947368421
2014.0,Photography,Male,38,57,0.6666666666666666
2014.0,Photography,Unknown,4,57,0.07017543859649122
2014.0,Prints & Illustrated Books,Female,16,95,0.16842105263157894
2014.0,Prints & Illustrated Books,Male,54,95,0.5684210526315789
2014.0,Prints & Illustrated Books,Unknown,25,95,0.2631578947368421
2015.0,Architecture & Design,Female,41,367,0.11171662125340599
2015.0,Architecture & Design,Male,269,367,0.7329700272479565
2015.0,Architecture & Design,Unknown,57,367,0.1553133514986376
2015.0,Drawings,Female,8,29,0.27586206896551724
2015.0,Drawings,Male,21,29,0.7241379310344828
2015.0,Film,Female,6,36,0.16666666666666666
2015.0,Film,Male,29,36,0.8055555555555556
2015.0,Film,Unknown,1,36,0.027777777777777776
2015.0,Media and Performance Art,Female,7,28,0.25
2015.0,Media and Performance Art,Male,17,28,0.6071428571428571
2015.0,Media and Performance Art,Unknown,4,28,0.14285714285714285
2015.0,Painting & Sculpture,Female,9,31,0.2903225806451613
2015.0,Painting & Sculpture,Male,22,31,0.7096774193548387
2015.0,Photography,Female,14,58,0.2413793103448276
2015.0,Photography,Male,41,58,0.7068965517241379
2015.0,Photography,Unknown,3,58,0.05172413793103448
2015.0,Prints & Illustrated Books,Female,31,122,0.2540983606557377
2015.0,Prints & Illustrated Books,Male,90,122,0.7377049180327869
2015.0,Prints & Illustrated Books,Unknown,1,122,0.00819672131147541
2016.0,Architecture & Design,Female,13,102,0.12745098039215685
2016.0,Architecture & Design,Male,62,102,0.6078431372549019
2016.0,Architecture & Design,Unknown,27,102,0.2647058823529412
2016.0,Drawings,Female,14,27,0.5185185185185185
2016.0,Drawings,Male,12,27,0.4444444444444444
2016.0,Drawings,Unknown,1,27,0.037037037037037035
2016.0,Film,Female,14,94,0.14893617021276595
2016.0,Film,Male,46,94,0.48936170212765956
2016.0,Film,Unknown,34,94,0.3617021276595745
2016.0,Media and Performance Art,Female,7,26,0.2692307692307692
2016.0,Media and Performance Art,Male,12,26,0.46153846153846156
2016.0,Media and Performance Art,Unknown,7,26,0.2692307692307692
2016.0,Painting & Sculpture,Female,7,40,0.175
2016.0,Painting & Sculpture,Male,24,40,0.6
2016.0,Painting & Sculpture,Unknown,9,40,0.225
2016.0,Photography,Female,16,85,0.18823529411764706
2016.0,Photography,Male,62,85,0.7294117647058823
2016.0,Photography,Unknown,7,85,0.08235294117647059
2016.0,Prints & Illustrated Books,Female,13,60,0.21666666666666667
2016.0,Prints & Illustrated Books,Male,41,60,0.6833333333333333
2016.0,Prints & Illustrated Books,Unknown,6,60,0.1
